date,mean,min,max
20120828,79.4,76.4,82.4
20120829,74.7,71.7,77.7
20120830,73.5,70.5,76.5
20120831,77.9,74.9,80.9
20120901,80.7,77.7,83.7
20120902,75.1,72.1,78.1
20120903,73.5,70.5,76.5
20120904,73.5,70.5,76.5
20120905,77.7,74.7,80.7
20120906,74.2,71.2,77.2
20120907,76,73,79
20120908,77.1,74.1,80.1
20120909,69.7,66.7,72.7
20120910,67.8,64.8,70.8
20120911,64,61,67
20120912,68.1,65.1,71.1
20120913,69.3,66.3,72.3
20120914,70,67,73
20120915,69.3,66.3,72.3
20120916,66.3,63.3,69.3
20120917,67,64,70
20120918,72.8,69.8,75.8
20120919,67.2,64.2,70.2
20120920,62.1,59.1,65.1
20120921,64,61,67
20120922,65.5,62.5,68.5
20120923,65.7,62.7,68.7
20120924,60.4,57.4,63.4
20120925,63.2,60.2,66.2
20120926,68.5,65.5,71.5
20120927,69.2,66.2,72.2
20120928,68.7,65.7,71.7
20120929,62.5,59.5,65.5
20120930,62.3,59.3,65.3
